"catagory","title","participated"
"기타","내년에 교복무상지급하는것을 반대합니다.","6"
"미래","한국의 미래는 지옥이다","4"
"육아/교육","인천 학생 추락사사건을 지켜보며.....","14"
"미래","빅 히트 상장을 미국에서 하게 해주세요.","0"
"행정","해외출장중인데 인터넷 직무교육 , 법정의무교육 와이프한테 대리교육 시키나요?","1"
"기타","이재명과 김경수 두명을 모두 살릴수는 없을거같습니다.","2"
"기타","음란물을 막지 말자","5"
"인권/성평등","정말 그게 청소년의 면죄부라 보시나요?","6"
"행정","대한적십자사 사기행각","6"
"기타","김&장과 검찰의 수사거래에 대해 의혹을 제기하오니 조사해 주시길 바랍니다.","1"
"교통/건축/국토","국민임대아파트.1인가구는 21평에살면 큰일 납니까?왜요?","11"
"정치개혁","형을더늘려야합다","6"
"보건복지","담배연기때문에 고통당하고 있습니다.","7"
"교통/건축/국토","택시와의 접촉사고 및 택시조합의 횡포 등","11"
"안전/환경","모든 휴대폰 번호가 조회되는 중국 사이트가 발견되어 충격적입니다.","6"
"외교/통일/국방","만약다른날에서북한빼고대책","2"
"정치개혁","국가의 과실로 대한민국도 문제이고 국민도 피해를 보고 있으며  기가찹니다. 도와주십시오","5"
"기타","한국전력배구단","17"
"안전/환경","아침에 밥좀 먹고 나오자 건설현장 출근 시간을 아침 8-9시로 해라...노동부,국토부 직원들 국민세금 빼쳐먹지말고","1"
"보건복지","경기지방노동위원회에 제출한 부당해고등 구제신청서을 제출하였읍니다. 경기지방노동회에서는 부당해고등 구제신청서번호가 없읍니다.","1"
"안전/환경","안전관리는 대행업체에 위탁하지 말고 직접 안전관리자를 고용해라","4"
"정치개혁","여성가족부 해체해라 국민세금아깝다.복지부로 통합해라 지금당장","12"
"기타","국민연금=공무원연금,군인연금,사학연금통합시켜라 국민세금 도둑질하지마라.똑같이 내고 똑같이 받자","8"
"교통/건축/국토","주민들의 안전을 무시하는 개발업자와 공사를 허가해준 공무원 그리고 시골주민","2"
"행정","청와대는  각성하라  약속이니   탁현민 내보내라","8"
"안전/환경","소년법, 심신미약으로 인한 감형 폐지를 언제까지 불안에 떨면서 기다려야 합니까?","17"
"교통/건축/국토","문대통령님 지지율하락 이유","25"
"인권/성평등","(동참) 국회의원도 무노동무임금 적용해야 된다","29"
"반려동물","반려동물의료보험","9"
"행정","법정의무교육","1"
"인권/성평등","(동참 바랍니다)나쁜 종교인들 강력하게 처벌해 주세요","14"
"문화/예술/체육/언론","우리 아이들의 꿈과 희망은 어른으로 인해 차별받을수 없습니다!!!","1,058"
"경제민주화","대통령님 삼성바이오로직스주주입니다","7"
"정치개혁","첫눈 왔다. 나간다고 말한사람 빨리 나가거라","10"
"안전/환경","긴급 재난 문자 한 곳에서만 보내게 해주세요 국민세금 낭비입니다.","9"
"기타","임종석 비서는  약속  안지키나","8"
"안전/환경","서울은 사건사고가 많네요. 이상하죠^^","0"
"육아/교육","양육비 받게 해주세요","13"
"기타","유시민 vs 이재명, 과연 최종 승자는?","2"
"기타","쌀 ㅡ비 흠뻑 젖은 배송처리껀","2"
"기타","소년법을 폐지시켜 주세요!!","9"
"일자리","공무원 정년을 55세로 해야 합니다.","4"
"정치개혁","국민은 도가 넘치게  '피로감과 짜증'을 느끼고 있다! 노동계,경영계! 나라를 먼저 생각하라 !","4"
"외교/통일/국방","대한민국 5000만 국민이여 늦기전에 정신 차리자! 악랄한 독재자 정은이의 노예가 될 수도 있다!!!","9"
"기타","메갈 워마드 폐지","5"
"일자리","시중은행에서 근무하는 청원경찰들의 과한 업무","3"
"보건복지","어린이 공원좀 빨리 만들어주세요","1"
"경제민주화","고아, 노숙자 게임 금지법","0"
"기타","쓸데없는 혈세 투입 반대","5"
"정치개혁","문재인 대통령 공무원연금 반듯이 개혁하세요","11"
"정치개혁","분열의 정치를 중단하라!!","14"
"정치개혁","중화제국 공산당원으로 조언하는데 한국 안락사 도입하시오","4"
"반려동물","나라를 지키는 군대?생명을 버리는 군인","46"
"미래","日, 2030년대까지 신형 호위함 22척 도입 ...대한민국 재 침략 기초 다지는 아베","2"
"정치개혁","적폐놀음 그만하시죠!!! 하늘이 웃음니다.","16"
"인권/성평등","남동이혼후 고충","3"
"기타","게시물 관리를 요청합니다.","2"
"보건복지","서울분당 **병원 척추수술","3"
"행정","평당사용료 256% 상승, 서울시 공무원의 갑질을 고발합니다  (내용추가)","3"
"반려동물","대통령님께.","9"
"정치개혁","국회의원 임기 2년 단임제","5"
"기타","분양한지 얼마나 됐다구 월세로 나온 집들이 즐비하네요.","4"
"교통/건축/국토","서울시의 집값잡기 위해 김포시의 교통을 빨리 편리하게 했으면 인구가 분산되고 적체된 김포시도 살리고","7"
"정치개혁","청와대는 결단을 내리시죠","1"
"행정","KT에 책임 묻고 고객에게 사과해야.... KT 건물 지하 화재로 인한 통신 장애에 대해 연락도 없어 시민들 큰 불편 겪어","3"
"기타","LPG가격 평준화","3"
"기타","조두순 출소 반대","66"
"기타","상대방의 갑질과 저의 정당방위를 주장합니다.","3"
"반려동물","동물병원에서 판매하는 심장사상충약을 의약부외품으로 풀어야합니다.","19"
"경제민주화","신용카드연회비를  없애주세요","6"
"저출산/고령화대책","내집마련 디딤돌 대출 비율을 시세의 70%에서 80%으로 상향해주시면 안되나요?","4"
"안전/환경","행정안전부 생활불편신고 앱 폐기처분해주세요.","2"
"인권/성평등","신생아 유기 사건을 본 후","2"
"안전/환경","당진 ㅇㅇ어린이집 아동사망사고 피해자의 엄마입니다.엄마아빠 얼굴도 못보고 하늘의별이된  저희아이와 저희가족좀 도와주세요..","7,054"
"성장동력","원전 재가동 ,탈원전 정책  포기","114"
"기타","면허증검사","3"
"외교/통일/국방","휴전선 불도저 확 밀어버리고 자유통행 합시다","1"
"행정","사법부 알파고로 전원 교체","6"
"인권/성평등","고통없이 자살할수 있는 안락사제도 도입해주세요","27"
"일자리","재활용 사업 활성화","2"
"기타","청소년 투표권 부여","7"
"성장동력","지나가는-강아지도아는경제살리는정책","5"
"반려동물","동물병원에서 판매하는 사료 '처방사료'라고 붙혀 판매할 수 없도록 해야합니다.","9"
"정치개혁","권력이 되버린  참여연대를  해체하라","29"
"성장동력","한국전력  부채 정부가 갚으세요.","5"
"기타","통신마비로인한 서울시민  재난상황","4"
"보건복지","외국인 긴급문자 영어 서비스 긴급 영어동시","1"
"기타","마루마루 대피소사이트 나왔습니다 막아주세요","13"
"교통/건축/국토","음주운전에 대한 행정처분 및 형사처벌 개정을 이렇게만 강화하고 동시에 사면대상자(일반사면대상자 및 특별사면대상자 모두 포함)에서도 음주운전자(음주운전은 중대범죄행위이다)만은 아예 완전영구히 제외해주세요","28"
"기타","청소년 소년법 폐지 해주세요","26"
"안전/환경","소음문제 더 이상 방치마라!!! 사람이 죽었다.","19"
"일자리","우리아빠를 살려주세요","11"
"정치개혁","건보료 석탄 연탄 버스 택시 도시가스 전기요금 쌀 우유 오른다","2"
"인권/성평등","너무 억울합니다.사실적시 명예훼손죄를 사라지게 해주세요..","48"
"기타","기름값유류세","0"
"외교/통일/국방","대통령 탄핵 대통령님 보세요","28"
"안전/환경","기상청 없애주세요!","1"
"경제민주화","국토부의 늦은 대처가 대구아파트 폭등을 부른다.","5"
"성장동력","원전재가동","66"
"인권/성평등","조두순의 출소를 반대합니다.","62"
"농산어촌","농어촌겨울난방비부담","16"
"경제민주화","서민을 위한 억울한 제도 좀 고쳐 주세요 열심히 부은 돈이 원금도 안된 답니다","10"
"교통/건축/국토","집값올리기에 종사해온 관료조직의 정비가 필요합니다","10"
"경제민주화","문재인 대통령님 삼성을 위한 삼성위원회라는 불명예 딱지를 금융위원회 스스로 떼어내는 계기가 되길 바라며,""삼성, 낡은 방식 청산하고 사회적책임 다해야""","2"
"정치개혁","나이를 속이고 북한의 이모를 만났던 대통령 문재인의 대국민 사과를 청원한다.","12"
"저출산/고령화대책","인공수정이랑 시험관비용 자비부담 좀  줄여주세요","12"
"교통/건축/국토","주택단지도로  주차금지법을","0"
"경제민주화","문재인대통령님 이게나라입니까?'무차입공매도' 차단 시스템 도입 앞당길 수 있었다…당국이 막았나, 대한민국 자본시장 적폐의 몸통이 만천하에 드러나는 순간입니다.","16"
"인권/성평등","국가의 성인권 침해에 따른 리얼돌(섹스돌, 전신인형, 성인용품) 세관법 허용 개정 청원","10"
"경제민주화","문재인 대통령님 '금융위 해체' 주장한 교수 세미나 일방취소한 KDI만행을 강력히 고발하며 금융위해체만이 한국 경제를 살릴 유일한 길임을 강력히 주장합니다.","3"
"정치개혁","문제많은 더불어 민주당 해체해라! 당을 없애라 !","11"
"교통/건축/국토","검단 ****** 추가 청약 거짓 메세지를 고발합니다.","2"
"경제민주화","중국보다 더한 딱퉁천국 대한민국 짝퉁때문에 벤처기업 다 죽는다","6"
"정치개혁","정치가 사생활(이재명)이 중요한안건인가요? 유치한 정치말고 수준높은 정치 정치적인 문제를 다루어주세요.","15"
"외교/통일/국방","한글파괴 일제 문화침략 국어로마자표기법 수사하고 책임자 처벌하라","0"
"교통/건축/국토","김현미장관은 스스로 사퇴하고 주택임대사업자 양도세비과세혜택은 즉시 폐지하라","27"
"교통/건축/국토","대통령님 청원드립니다","2"
"미래","자국민이 반대하는 북한 철도 공사 왜 하려하십니까???","13"
"기타","인터넷쇼핑물업체  택배요금  빽마진","1"
"보건복지","보훈병원에도 엑시머 레이져 기기좀 도입하게 해주세요","2"
"성장동력","공매도폐지해주세요","18"
"기타","아니 음주하면 형량 쳐 줄이지말고 더 강화하라고","2"
"성장동력","군산의 가상화폐(에어비트)사기꾼들","10"
"기타","의료보험료 폭탄인상.","12"
"농산어촌","피땀흘려 키운 나락vs 정부갑질","6"
"문화/예술/체육/언론","유튜브 방송 및 업로드 15세미만을 금지해주시기 바랍니다","4"
"외교/통일/국방","DMZ서 총 들고 만난 남북, 폭 12m 도로 연결","1"
"인권/성평등","[신고하세요]사찰이 돈 없는 70~80대 노인들 대상으로 납골당 등을 판매합니다.","6"
"저출산/고령화대책","다둥이에게 임대아파트 입주 우선권을","4"
"정치개혁","직권남용 및 직무유기 관련 형법 및 형소법 일부 개정 요청","2"
"미래","나라 돈은 어디로 가죠?","6"
"교통/건축/국토","음주운전 번호판","5"
"성장동력","문재인 대통령님 정경두 국방부장관님 군대복무 기간 12개월이하로줄여주세요","0"
"기타","대한민국의 법은 죽었다.","9"
"기타","마루마루 폐쇄","29"
"기타","살려주세요.도와주세요.가정폭력으로.아동학대로도와주세요","9"
"정치개혁","국회의원들 급여를 최저시급으로 명예 봉사직으로 바꿔주세요","31"
"육아/교육","대통령님 얼마나 많은 에너지를 더 생산하셔야 하시기에 아이들까지 피해를 주시는 겁니까?","15"
"인권/성평등","남북 도로, 철도 연결하면 뭐하나 탈북하다 걸리면 총 맞는데...","8"
"일자리","의대생정원을 늘려 주세요","4"
"문화/예술/체육/언론","까르네 가입","0"
"행정","모욕죄등, 명예훼손죄에 대한 전국 경찰들의 불성실한 자세에 대한 징계를 청원합니다.","13"
"기타","보험사들의 갑질","5"
"정치개혁","청와대도 윤창호법 대상자!!  국무회의서 즉시 통과 되길희망합니다!!  기강이 해이해요!!!","11"
"정치개혁","특별 당비를 요구 했던 쓰레기 ?조사하여 혀ㅇ무소에 보내라!","2"
"정치개혁","김해공항 BMW 사건 형벌을 높여주세요.","10"
"행정","공무원의 무책임한 행정","7"
"행정","전두환의 사형집행을 요구합니다.","4"
"정치개혁","정치인 고위 공직자 유명인 사칭 보이스 피싱 끊임없이 당하는 이유...","0"
