"catagory","title","participated"
"교통/건축/국토","아파트주민대표의 횡포","2"
"정치개혁","본인들이 적폐인걸 모르나? 탄핵후 특검하라","11"
"기타","날강도","8"
"일자리","갈수록 더 먹고살기힘드네","11"
"인권/성평등","초등학생 '틱톡' 어플 규제 요구 청원","2"
"보건복지","먹먹하네요 ㅠㅠ","2"
"교통/건축/국토","아파트주민대표의 횡포","0"
"안전/환경","문재인 대통령님 미세먼지 해결되고있는거맞죠? 말로만그러는거아니죠?","5"
"미래","일본 원전 오염수 방출을 막아주세요!","1"
"문화/예술/체육/언론","전신 성인 인형(리얼돌) 수입에 대한 의견","4"
"기타","그랜드 캐니언","41"
"정치개혁","국제 망신 예천군의원들 받은건 책임은 범죄단체 괴물 자유한국당이다","3"
"정치개혁","검찰 김태우자택 압수수색 공익제보 자료지우기 재갈물리기","9"
"문화/예술/체육/언론","체육계 미투조사 복지부동 공무원 중심 안됩니다.","2"
"안전/환경","그랜드캐년 사과 관련 국민세금 함부로 쓰지 말주세요","80"
"외교/통일/국방","일본의 계속되는 도발에 대한민국 국민으로서 화가납니다.","2"
"외교/통일/국방","친일, 매국행위를 하는 모든자에게 일본으로 추방및 주민등록말소를 건의 드립니다.","29"
"육아/교육","금수저 전형: 재외국민 특별전형 폐지 및 보완","1"
"반려동물","동물 안락사폐지와반려동물 책임지는법을 엄격하게 해주세요","5"
"정치개혁","영부인 동기 동창이라고 막 해묵으면 안되지...","7"
"일자리","대한민국에서 뭐해먹고살아야되냐?","5"
"정치개혁","청와대 마음에 안맞 글이라고 자꾸 지우면 천벌받습니다.","6"
"문화/예술/체육/언론","조선일보, 티비조선 정말 이렇게 놔둬도 되나요?","5"
"정치개혁","김기식  양승태  김태우 대하기 검찰의 진면목","3"
"행정","대한민국 국민의 개인정보를 잘 킬수도있도록 시스템을 통합시켜주세요.","1"
"교통/건축/국토","소형 화물차 왼쪽차로 주행 힐 수 있게 제도개선 해주세요.","3"
"정치개혁","자유한국당이 또 국회 대문에  대못질을 하는잇읍니다","6"
"육아/교육","돈빼앗는 수법의 진화 !!!!여성학대!!!!","1"
"외교/통일/국방","북에 있는 핵무기를 남북한이 똑같이 나누워 가집시다.","4"
"정치개혁","손혜원의원을 문화체육부 장관으로 임명해주세요","9"
"정치개혁","민주당은 모두 손혜원 같은가...","20"
"정치개혁","조해주 중앙선거관리위원 국민들 사리에 맞지 않다고 본다.","6"
"경제민주화","와이디온라인 상장폐지 막아주시기 바랍니다.","6"
"정치개혁","손혜원 투기꾼을 구속수사하라!!!!","30"
"미래","한국의 화폐개혁이 절실한 때입니다","1"
"인권/성평등","부산 에서 억울한일을 당했습니다","0"
"문화/예술/체육/언론","조선일보 손의원 왜곡 보도. 얼마전 홍석천씨 이태원 폐점 이유 왜곡보도도 하더니.","4"
"교통/건축/국토","아파트주민대표의 횡포","1"
"정치개혁","입법을 꼭 국회의원이 해야 하나요?","3"
"기타","생신 축하!!","14"
"기타","유흥업소 청소년출입 처벌","1"
"외교/통일/국방","그랜드캐년 사고 가족에게만 주어지는 특별한 영사조력 범위 혜택입니까?","70"
"농산어촌","문재인대통령님을 청산도에 초청드립니다.","2"
"정치개혁","손혜one 최순실보다 더 큰 촛불 필요한데 왜 잠잠한가.","20"
"정치개혁","행자부장관 능력치 경험하자 .. 울산지자체 시민들아.","0"
"보건복지","충북(청주) 및  전국 지역아동센터에 CCTV설치를 꼭 의무화 해주세요.","3"
"인권/성평등","천안함사건을 물만두에 비교하는 악질적인 인간을 처벌해주세요.(온라인 모욕법좀 강화해주세요)","5"
"보건복지","25살 그랜드 캐년 청년사고 가족  재산조사 및 세무조사 청원합니다.","110"
"경제민주화","와이디온라인 상장폐지 막아주세요~","6"
"기타","문재인 대통령님 생신 축하드립니다.","14"
"기타","군 5급 면제자들한테 병원비와 약값을 지원 해주세요.","0"
"기타","그랜드 캐니언 추락 대학생 세금 투입 절대 반대","57"
"기타","그랜드 캐넌 반대동의 여기링크로 몰아치기해요","33"
"정치개혁","황교안! 황교안! 황교안! 황교안 !황교안! 황교안! 황교안! 화~이~팅 !","11"
"인권/성평등","억울하게 뇌사상태에 빠져 장기기증을하며 세상을떠난 박용관군인을 아십니까 가해자를 강력 처벌해주세요","4"
"정치개혁","국회의원 일 안하면 국회의원 포함 보좌관도 월급 지급 안하도록 대통령령으로 좀...","9"
"미래","세금 상승으로 월급이 줄었습니다.","0"
"교통/건축/국토","결국은 세금걷기위함ㅉ","5"
"기타","대통령님  여기 수만명이 쉴세 없이  청원하는데 ~~","4"
"외교/통일/국방","제안합니다.","0"
"정치개혁","손혜one 최순실보다 더 심한거 같은데...","24"
"보건복지","그랜드캐년사건을 계기로 보험에 가입을 한 사람에 한해 출국을 허락해야 합니다.","4"
"행정","임금체불진정서 담당 근로감독관 변경 해주세요~","3"
"정치개혁","손해원TV 나오는거 지겨워서 꼬라지 못보겠다ㅡ짤라라","20"
"반려동물","유기견을  분양받으면 연말 정산 세액공제를  해주세요","4"
"보건복지","육아휴직 사후지급금을 돌려주세요","2"
"교통/건축/국토","공사대금받게 해주세요","3"
"정치개혁","문재인 대통령님 중국에 공기청정집진장치 달아주세요","1"
"일자리","주휴수당 폐지.. 정작 국민들의 소리가 안들리시는가..","5"
"교통/건축/국토","무주택자는 대출완화해 주세요","4"
"교통/건축/국토","취득세 낮추시오!!!!!!!!","8"
"보건복지","저는 정신과 환자입니다.","0"
"보건복지","술잔돌리기 금지법 만들어주세요","6"
"일자리","먹고사는데, 너무나 힘이 듭니다","3"
"교통/건축/국토","건설 현장에  불법 체류자  단속좀 해주세요.","7"
"외교/통일/국방","이게군대냐?","6"
"기타","사학연금 지급을 15년만 지급하는 것이 어떻겠습니까?? 국가부채를 줄이기 위해서","1"
"교통/건축/국토","전세보증금 돌려주지 못해 집이 경매에 넘어갑니다.","7"
