"국가이름","국토면적","인구","국내총생산","일인당국내총생산","경제성장률","언론자유지수","행복지수","자살률","기대수명","부패인식지수","순소득지니계수","재산지니계수","합계출산율","범죄지수","민주주의지수"
"브라질",851577000,212392717,2055505502224.7,9821.41,0.98,32.79,6.3,6.5,74.3,35,44.9,83.2,1.7,70.24,6.97
"브루나이",577000,439336,12128089001.6,28290.59,1.33,51.48,NA,4.6,77.52,63,NA,NA,1.9,NA,NA
"사모아",284000,198909,856626506,NA,2.5,18.25,NA,4.4,74.19,NA,NA,NA,3.9,NA,NA
"사우디",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.93
"사우디아라비아",214969000,34140662,683827144288.5,20760.91,-0.74,65.88,6.375,3.2,75.71,49,NA,NA,2.5,29.73,NA
"산마리노",6000,NA,1658778453.9,NA,1.24,NA,NA,NA,83.39,NA,NA,NA,1.3,NA,NA
"산맥",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.66
"상아",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.15
"상투메프린시페",96000,213379,390871568.6,NA,3.87,NA,NA,2.3,65.65,46,NA,NA,4.4,NA,NA
"새로운",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.26
"생피에르미클롱",24000,NA,NA,NA,NA,NA,NA,NA,80.73,NA,NA,NA,NA,NA,NA
"샤넬군도",19000,166828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"서부사하라",NA,NA,NA,NA,NA,NA,NA,NA,63.77,NA,NA,NA,NA,NA,NA
"서사하라",26600000,582478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"세네갈",19671000,16743859,16374743753.5,1033.07,6.79,25.81,4.681,6,62.47,45,34.5,69.8,4.7,NA,6.15
"세르비아",8836000,8733407,41431648801.2,NA,1.87,31.18,5.603,15.6,75.9,39,34,54.2,1.5,37.27,6.41
"세이셸",46000,NA,1485994387.5,NA,4.2,29.41,NA,9.3,75.17,66,NA,NA,3.6,NA,NA
"세인트",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA,NA
"세인트루시아",62000,180454,1712306555.6,9574.3,2.69,NA,NA,7.8,78.12,55,NA,NA,NA,NA,NA
"세인트마틴",NA,NA,NA,NA,NA,NA,NA,NA,79.89,NA,NA,NA,NA,NA,NA
"세인트마틴(프랑스어부분)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,NA
"세인트바데레미",NA,NA,NA,NA,NA,NA,NA,NA,79.89,NA,NA,NA,NA,NA,NA
"세인트빈센트그레나딘",39000,110488,789629629.6,7185.18,1.6,NA,NA,2.4,75.75,58,NA,NA,1.9,NA,NA
"세인트키츠네비스",26000,NA,945854481.5,NA,1.74,NA,NA,NA,76.15,NA,NA,NA,2.1,NA,NA
"세인트헬레나",39000,NA,NA,NA,NA,NA,NA,NA,79.77,NA,NA,NA,NA,NA,NA
"소말리아",63766000,15636171,7368560694.7,NA,NA,57.24,4.668,4.7,53.17,10,NA,NA,6.2,60.1,NA
"솔로몬",NA,NA,NA,NA,NA,NA,NA,4.7,75.77,44,NA,NA,3.8,NA,NA
"솔로몬제도",2890000,635254,1303453616.1,2132.12,3.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"수단",NA,42514094,117487857142.9,2898.55,4.28,72.45,NA,8.1,62.66,16,NA,NA,4.5,NA,2.15
"수리남",16382000,573085,3324385325.3,5900.56,0.1,16.38,NA,22.8,72.78,43,NA,NA,2.3,NA,6.98
"스리",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.19
"스리랑카",6561000,21018859,87174682200.4,4065.22,3.11,39.61,4.366,14.6,77.13,38,51.4,66.5,2,41.03,NA
"스와질란드",NA,NA,NA,NA,NA,49.09,4.212,NA,52.56,38,NA,NA,NA,NA,3.03
"스웨덴",44743000,10053135,538040458217,53442.01,2.29,8.31,7.343,14.8,81.76,85,25.7,83.4,1.9,49.35,9.39
"스위스",4129000,8608259,678887336848.3,80189.7,1.09,10.52,7.48,17.2,81.75,85,29.3,69.4,1.5,21.5,9.03
